Time,Timestamp,ISO8601,Heart Rate (bpm),Lap,Since start (second)
06:10:59.548,1775214659.548,2026-04-03T06:10:59.548-0500,107,1,166
06:11:00.548,1775214660.548,2026-04-03T06:11:00.548-0500,106,1,167
06:11:01.548,1775214661.548,2026-04-03T06:11:01.548-0500,106,1,168
06:11:02.548,1775214662.548,2026-04-03T06:11:02.548-0500,106,1,169
06:11:03.548,1775214663.548,2026-04-03T06:11:03.548-0500,106,1,170
06:11:04.548,1775214664.548,2026-04-03T06:11:04.548-0500,107,1,171
06:11:05.548,1775214665.548,2026-04-03T06:11:05.548-0500,107,1,172
06:11:06.548,1775214666.548,2026-04-03T06:11:06.548-0500,108,1,173
06:11:07.548,1775214667.548,2026-04-03T06:11:07.548-0500,108,1,174
06:11:08.548,1775214668.548,2026-04-03T06:11:08.548-0500,108,1,175
06:11:09.548,1775214669.548,2026-04-03T06:11:09.548-0500,108,1,176
06:11:10.548,1775214670.548,2026-04-03T06:11:10.548-0500,108,1,177
06:11:11.548,1775214671.548,2026-04-03T06:11:11.548-0500,109,1,178
06:11:12.548,1775214672.548,2026-04-03T06:11:12.548-0500,109,1,179
06:11:13.548,1775214673.548,2026-04-03T06:11:13.548-0500,109,1,180
06:11:14.548,1775214674.548,2026-04-03T06:11:14.548-0500,109,1,181
06:11:15.548,1775214675.548,2026-04-03T06:11:15.548-0500,108,1,182
06:11:16.548,1775214676.548,2026-04-03T06:11:16.548-0500,107,1,183
06:11:17.548,1775214677.548,2026-04-03T06:11:17.548-0500,106,1,184
06:11:18.548,1775214678.548,2026-04-03T06:11:18.548-0500,106,1,185
06:11:19.548,1775214679.548,2026-04-03T06:11:19.548-0500,105,1,186
06:11:20.548,1775214680.548,2026-04-03T06:11:20.548-0500,104,1,187
06:11:21.548,1775214681.548,2026-04-03T06:11:21.548-0500,103,1,188
06:11:22.548,1775214682.548,2026-04-03T06:11:22.548-0500,102,1,189
06:11:23.548,1775214683.548,2026-04-03T06:11:23.548-0500,101,1,190
06:11:24.548,1775214684.548,2026-04-03T06:11:24.548-0500,101,1,191
06:11:25.548,1775214685.548,2026-04-03T06:11:25.548-0500,101,1,192
06:11:26.548,1775214686.548,2026-04-03T06:11:26.548-0500,102,1,193
06:11:27.548,1775214687.548,2026-04-03T06:11:27.548-0500,102,1,194
06:11:28.548,1775214688.548,2026-04-03T06:11:28.548-0500,102,1,195
06:11:29.548,1775214689.548,2026-04-03T06:11:29.548-0500,102,1,196
06:11:30.548,1775214690.548,2026-04-03T06:11:30.548-0500,103,1,197
06:11:31.548,1775214691.548,2026-04-03T06:11:31.548-0500,103,1,198
06:11:32.548,1775214692.548,2026-04-03T06:11:32.548-0500,103,1,199
06:11:33.548,1775214693.548,2026-04-03T06:11:33.548-0500,103,1,200
06:11:34.548,1775214694.548,2026-04-03T06:11:34.548-0500,103,1,201
06:11:35.548,1775214695.548,2026-04-03T06:11:35.548-0500,104,1,202
06:11:36.548,1775214696.548,2026-04-03T06:11:36.548-0500,104,1,203
