Date, Workout Type, Calories, Time, Distance, Pace, Heart Rate, Elevation
6/23/24,Walking,"100" kcal, 18min,"0.89" mi,"21m 5s","115 bpm","9.7 m"
6/24/24,Walking,"103" kcal, 27min,"1" mi,"27m 21s","105 bpm","3.15 m"
6/24/24,Walking,"126" kcal, 37min,"1.18" mi,"31m 47s","103 bpm","10.4 m"
6/25/24,Walking,"111" kcal, 26min,"1.08" mi,"24m 58s","113 bpm","0 m"
6/26/24,Walking,"117" kcal, 20min,"0.93" mi,"21m 24s","130 bpm","2.54 m"
6/27/24,Walking,"64" kcal, 14min,"0.58" mi,"24m 14s","107 bpm","0 m"
7/6/24,Walking,"142" kcal, 36min,"2.05" mi,"17m 58s","83 bpm","3.54 m"
7/16/24,Walking,"59" kcal, 14min,"0.55" mi,"27m 8s","112 bpm","0 m"
7/16/24,Walking,"78" kcal, 19min,"0.63" mi,"30m 18s","116 bpm","0 m"
7/17/24,Walking,"45" kcal, 10min,"0.33" mi,"32m 39s","124 bpm","0 m"
9/26/24,Walking,"80" kcal, 14min,"0.59" mi,"24m 40s","116 bpm","0 m"
12/14/24,Walking,"82" kcal, 16min,"0.86" mi,"19m 33s","109 bpm","2.01 m"
12/14/24,Walking,"37" kcal, 22min,"0.08" mi,"288m 2s","103 bpm","2.02 m"
12/15/24,Walking,"53" kcal, 9min,"0.48" mi,"19m 32s","124 bpm","0 m"
1/17/25,Walking,"7" kcal, 5min,"0" mi,"1,391m 29s","69 bpm","0 m"
2/16/25,Walking,"27" kcal, 5min,"0.18" mi,"30m 44s","107 bpm","0 m"
3/18/25,Walking,"161" kcal, 57min,"1.47" mi,"39m 9s","97 bpm","23.87 m"
3/20/25,Walking,"120" kcal, 38min,"0.97" mi,"39m 28s","96 bpm","13.95 m"
3/21/25,Walking,"79" kcal, 19min,"0.73" mi,"26m 32s","108 bpm","0 m"
5/9/25,Walking,"114" kcal, 36min,"0.83" mi,"44m 27s","112 bpm","0 m"
6/10/25,Walking,"101" kcal, 21min,"0.78" mi,"27m 25s","114 bpm","7.5 m"
6/29/25,Walking,"86" kcal, 21min,"0.89" mi,"24m 11s","102 bpm","0 m"
6/29/25,Walking,"145" kcal, 50min,"1.28" mi,"39m 50s","90 bpm","14.53 m"
7/1/25,Walking,"77" kcal, 18min,"0.81" mi,"23m 7s","97 bpm","0 m"
7/1/25,Walking,"63" kcal, 21min,"0.66" mi,"32m 26s","94 bpm","0 m"
7/1/25,Walking,"107" kcal, 35min,"0.93" mi,"37m 44s","101 bpm","5.1 m"
7/17/25,Walking,"55" kcal, 21min,"0.64" mi,"33m 25s","87 bpm","0 m"
7/18/25,Walking,"326" kcal, 1hr 23min,"2.1" mi,"40m","137 bpm","0 m"
7/19/25,Walking,"176" kcal, 57min,"1.02" mi,"56m 11s","126 bpm","0 m"
8/1/25,Walking,"68" kcal, 21min,"0.86" mi,"25m 7s","96 bpm","7.12 m"
10/9/25,Walking,"108" kcal, 41min,"1.13" mi,"36m 37s","99 bpm","0 m"
10/30/25,Walking,"78" kcal, 22min,"0.83" mi,"26m 39s","98 bpm","0 m"
11/14/25,Walking,"236" kcal, 45min,"2.14" mi,"21m 27s","105 bpm","0 m"
11/16/25,Walking,"373" kcal, 1hr 12min,"3.92" mi,"18m 33s","103 bpm","0 m"
11/17/25,Walking,"25" kcal, 4min,"0.32" mi,"15m 20s","112 bpm","3.39 m"
11/18/25,Walking,"368" kcal, 1hr 10min,"3.82" mi,"18m 32s","103 bpm","0 m"
